feature,importance
logarithm_glszm_SizeZoneNonUniformityNormalized,0.024789084
lbp-3D-m2_firstorder_Maximum,0.019701645
logarithm_firstorder_Median,0.019414784
square_glszm_SizeZoneNonUniformityNormalized,0.01868913
lbp-3D-k_glcm_ClusterTendency,0.018221239
wavelet-HHH_glcm_Idmn,0.017508244
squareroot_glcm_Idmn,0.01738252
square_glcm_InverseVariance,0.017175449
logarithm_ngtdm_Contrast,0.01699771
square_glszm_SmallAreaEmphasis,0.016607411
squareroot_gldm_SmallDependenceHighGrayLevelEmphasis,0.016501544
lbp-3D-k_glrlm_RunLengthNonUniformityNormalized,0.016400913
lbp-3D-k_firstorder_InterquartileRange,0.016133469
squareroot_firstorder_TotalEnergy,0.015881829
lbp-3D-k_gldm_LargeDependenceEmphasis,0.015848584
wavelet-HHH_glcm_ClusterShade,0.015840724
logarithm_glcm_Correlation,0.015583643
lbp-3D-k_firstorder_Maximum,0.015551494
lbp-3D-k_glcm_Autocorrelation,0.0155225545
lbp-3D-k_firstorder_90Percentile,0.015507875
square_ngtdm_Strength,0.015439094
lbp-3D-k_firstorder_MeanAbsoluteDeviation,0.015355993
wavelet-LLL_glcm_JointEntropy,0.015234373
wavelet-LLH_glcm_MaximumProbability,0.015116378
squareroot_glszm_ZoneEntropy,0.015049052
lbp-3D-k_glcm_ClusterProminence,0.015024039
wavelet-LLL_ngtdm_Contrast,0.014996336
wavelet-HLH_glcm_MCC,0.014782529
logarithm_glcm_Imc1,0.014609644
logarithm_glcm_Idmn,0.014284761
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.014101579
wavelet-LLL_firstorder_TotalEnergy,0.013719288
lbp-3D-k_glszm_GrayLevelNonUniformity,0.013663576
wavelet-LLH_gldm_DependenceEntropy,0.013573888
wavelet-LLL_glcm_Idmn,0.01342962
lbp-3D-k_glszm_GrayLevelNonUniformityNormalized,0.013259087
original_glcm_MaximumProbability,0.012793329
